ID,Wilaya,University,Level of your study,How did you hear of CSE Around Algeria?,Select the workshop you wish to attend,Rate your knowledge in the field of the workshop
62,Alger,Faculty of medicine  Ziania,1 cs / L3,Your local partner of CSE Around Algeria,"Intro to cloud",1
63,Alger,Faculty of medicine  Ziania,1 cp / L1,Your local partner of CSE Around Algeria,"Intro to cloud",1
64,Alger,Faculty of medicine  Ziania,2 cp / L2,Your local partner of CSE Around Algeria,"Intro to cloud",1
65,Alger,Faculty of medicine  Ziania,1 cp / L1,Your local partner of CSE Around Algeria,"Intro to cloud",1
66,Alger,Faculty of medicine  Ziania,1 cp / L1,Your local partner of CSE Around Algeria,"Intro to cloud",2
67,Alger,Faculty of medicine  Ziania,1 cp / L1,CSE's social media,"Intro to cloud",2
68,Alger,Faculty of medicine  Ziania,2 cp / L2,Your local partner of CSE Around Algeria,"Intro to cloud",2
69,Alger,Faculty of medicine  Ziania,2 cp / L2,Your local partner of CSE Around Algeria,"Intro to cloud",1
70,Alger,Faculty of medicine  Ziania,1 cp / L1,Your local partner of CSE Around Algeria,"Intro to machine learning an AI",1
71,Alger,Faculty of medicine  Ziania,2 cp / L2,CSE's social media,"Intro to machine learning an AI",1
72,Alger,Faculty of medicine  Ziania,2 cp / L2,Recommended by a friend or a colleague,"Intro to machine learning an AI",1
73,Alger,Faculty of medicine  Ziania,2 cp / L2,CSE's social media,"Intro to machine learning an AI",2
74,Alger,Faculty of medicine  Ziania,1 cs / L3,CSE's social media,"Intro to machine learning an AI",1
75,Alger,Faculty of medicine  Ziania,2 cs / Master 1,Your local partner of CSE Around Algeria,"Intro to machine learning an AI",1
76,Alger,Faculty of medicine  Ziania,1 cp / L1,Recommended by a friend or a colleague,"Intro to machine learning an AI",1
77,Alger,Faculty of medicine  Ziania,1 cp / L1,Recommended by a friend or a colleague,"Intro to machine learning an AI",1
78,Alger,University of Algiers 1,2 cp / L2,CSE's social media,"Dev WEB : intro to HTML CSS",1
79,Alger,ESI,2 cs / Master 1,CSE's social media,"Intro to machine learning an AI",1
80,Alger,ESI,2 cp / L2,CSE's social media,"Intro to machine learning an AI",3
81,Alger,ESI,2 cs / Master 1,CSE's social media,"Intro to machine learning an AI",1
82,Alger,ESI,2 cp / L2,CSE's social media,"Intro to machine learning an AI",3
83,Alger,ESI,1 cp / L1,CSE's social media,"Intro to machine learning an AI",1
84,Alger,ESI,2 cp / L2,Your local partner of CSE Around Algeria,"Intro to machine learning an AI",1
85,Alger,ESI,1 cs / L3,Recommended by a friend or a colleague,"Intro to machine learning an AI",1
86,Alger,University of Algiers 1,1 cp / L1,CSE's social media,"Intro to machine learning an AI",1
87,Alger,University of Algiers 1,1 cp / L1,CSE's social media,"Intro to machine learning an AI",1
88,Alger,University of Algiers 1,1 cs / L3,CSE's social media,"Intro to cloud",1
89,Alger,University of Algiers 1,2 cp / L2,Your local partner of CSE Around Algeria,"Intro to machine learning an AI",3
90,Alger,University of Algiers 1,1 cp / L1,CSE's social media,"Intro to machine learning an AI",2
91,Alger,USTHB,2 cp / L2,CSE's social media,"Intro to machine learning an AI",2
92,Alger,University of Algiers 1,2 cp / L2,Recommended by a friend or a colleague,"Intro to machine learning an AI",3
93,Alger,University of Algiers 1,2 cp / L2,Recommended by a friend or a colleague,"Intro to machine learning an AI",3
94,Alger,University of Algiers 1,1 cp / L1,Recommended by a friend or a colleague,"Intro to machine learning an AI",1
95,Alger,University of Algiers 1,1 cp / L1,CSE's social media,"Intro to machine learning an AI",3
96,Alger,University of Algiers 1,2 cs / Master 1,CSE's social media,"Intro to machine learning an AI",1
97,Alger,ESI,2 cp / L2,CSE's social media,"Intro to machine learning an AI",1
98,Alger,ESI,2 cs / Master 1,CSE's social media,"Intro to machine learning an AI",1
99,Alger,University of Algiers 1,2 cs / Master 1,Recommended by a friend or a colleague,"Intro to machine learning an AI",2
100,Alger,USTHB,1 cp / L1,CSE's social media,"Intro to machine learning an AI",1
101,Alger,USTHB,1 cs / L3,CSE's social media,"Intro to machine learning an AI",2
102,Alger,USTHB,1 cp / L1,Recommended by a friend or a colleague,"Dev WEB : intro to HTML CSS",3
103,Alger,USTHB,2 cs / Master 1,CSE's social media,"Dev WEB : intro to HTML CSS",1
104,Alger,USTHB,2 cp / L2,CSE's social media,"Dev WEB : intro to HTML CSS",1
105,Alger,USTHB,2 cs / Master 1,Your local partner of CSE Around Algeria,"Dev WEB : intro to HTML CSS",2
106,Alger,USTHB,1 cp / L1,CSE's social media,"Dev WEB : intro to HTML CSS",3
107,Alger,USTHB,2 cs / Master 1,CSE's social media,"Dev WEB : intro to HTML CSS",1
108,Alger,USTHB,1 cs / L3,Recommended by a friend or a colleague,"Dev WEB : intro to HTML CSS",3
109,Alger,USTHB,1 cp / L1,CSE's social media,"Dev WEB : intro to HTML CSS",2
110,Alger,USTHB,2 cp / L2,CSE's social media,"Intro to cloud",3
111,Alger,USTHB,2 cp / L2,CSE's social media,"Intro to cloud",1
112,Alger,USTHB,1 cp / L1,CSE's social media,"Intro to cloud",3
113,Alger,USTHB,1 cp / L1,CSE's social media,"Intro to cloud",1
114,Alger,USTHB,2 cp / L2,CSE's social media,"Intro to cloud",2
115,Alger,USTHB,1 cp / L1,CSE's social media,"Intro to cloud",1
116,Alger,USTHB,2 cp / L2,CSE's social media,"Intro to cloud",2
117,Alger,USTHB,1 cp / L1,CSE's social media,"Dev WEB : intro to HTML CSS",1
118,Alger,USTHB,1 cp / L1,Your local partner of CSE Around Algeria,"Dev WEB : intro to HTML CSS",1
119,Alger,ESI,2 cs / Master 1,Recommended by a friend or a colleague,"Dev WEB : intro to HTML CSS",1
120,Alger,ESI,2 cp / L2,CSE's social media,"Intro to machine learning an AI",1
121,Alger,USTHB,1 cp / L1,CSE's social media,"Dev WEB : intro to HTML CSS",1
